user_id,tag_id
27,17
27,21
27,12
27,9
27,18
28,15
28,14
28,12
28,10
31,19
31,11
31,12
31,9
31,20
31,10
32,19
32,11
32,10
33,17
33,21
33,20
33,18
33,10
34,19
34,17
34,12
34,9
34,18
34,10
34,13
35,15
35,17
35,10
35,13
36,15
36,16
36,19
36,17
36,11
36,21
36,12
36,9
36,20
36,10
36,13
38,9
38,18
38,10
38,13
39,16
39,19
39,11
39,10
40,15
40,16
40,19
40,11
40,9
40,20
40,18
40,10
41,19
41,17
41,9
41,20
41,13
42,15
42,16
42,19
42,11
42,21
42,12
42,10
43,19
43,17
43,12
43,20
43,18
44,15
44,11
44,9
44,13
45,15
45,12
46,9
46,18
46,10
47,15
47,11
47,9
47,20
47,10
47,13
48,16
48,17
48,14
48,10
49,15
49,19
49,11
49,12
49,9
49,20
49,13
50,16
50,19
50,17
50,14
50,12
50,9
50,20
50,18
50,10
51,15
51,16
51,17
51,21
51,9
51,10
51,13
52,17
52,12
52,9
54,19
54,14
54,12
54,10
55,15
55,16
55,17
55,11
55,14
55,20
55,10
55,13
56,19
56,12
56,9
56,10
57,19
57,12
57,9
57,10
58,19
58,11
58,14
58,12
58,9
58,20
58,10
58,13
59,16
59,19
59,11
59,12
60,16
60,19
60,11
60,12
60,18
62,15
62,16
62,11
62,12
62,9
62,20
62,10
63,16
63,11
63,10
63,13
64,15
64,9
66,19
66,12
66,9
66,18
66,10
67,16
67,11
67,10
68,12
68,9
68,10
68,13
69,17
69,11
69,21
69,9
69,18
69,10
70,19
70,12
70,9
70,20
70,13
73,12
73,9
73,13
74,19
74,11
74,10
75,19
75,11
75,21
75,13
76,16
76,19
76,12
77,15
77,16
77,19
77,17
77,12
77,9
77,20
77,18
77,10
78,21
78,9
78,20
78,18
78,10
78,13
79,15
79,14
79,12
79,10
80,19
80,17
80,11
80,21
80,14
80,12
80,9
80,20
80,18
80,10
80,13
81,15
81,16
81,19
81,17
81,11
81,14
81,12
81,9
81,20
81,10
82,16
82,19
82,12
82,20
82,18
82,10
83,9
83,10
83,13
84,16
84,9
84,18
85,15
85,16
85,17
85,11
85,21
85,10
86,19
86,12
86,9
86,18
87,15
87,16
87,21
87,20
87,18
87,10
88,9
89,16
89,14
89,12
89,9
89,18
89,10
90,15
90,19
90,17
90,11
90,14
90,12
90,20
90,18
90,10
91,16
91,14
91,9
92,19
92,13
93,13
94,16
94,19
94,17
94,11
94,12
94,20
94,18
94,10
95,19
95,12
95,18
95,10
96,15
96,16
96,19
96,17
96,11
96,12
96,9
96,20
96,18
96,10
97,19
97,11
97,14
97,12
97,9
98,19
98,11
98,21
98,9
98,10
98,13
99,19
99,11
99,12
99,20
99,10
100,16
100,19
100,11
100,12
101,15
101,11
101,10
101,13
102,19
102,12
102,9
102,10
103,16
103,19
103,17
103,12
103,9
103,20
104,19
104,12
104,9
104,18
104,13
105,12
105,9
106,19
106,11
106,20
107,15
107,16
107,19
107,17
107,11
107,21
107,12
107,9
107,10
107,13
108,15
108,16
108,19
108,11
108,12
108,9
108,20
108,18
108,10
108,13
109,19
109,14
109,12
109,18
109,10
109,13
110,12
110,9
110,18
110,10
110,13
111,15
111,16
111,19
111,17
111,11
111,12
111,9
111,20
111,18
111,10
111,13
112,19
112,17
112,11
112,21
112,12
112,9
112,20
112,10
112,13
113,16
114,16
114,19
114,12
114,9
115,16
115,14
115,12
116,19
116,18
116,10
116,13
117,15
117,16
117,19
117,11
117,12
117,20
117,10
118,15
118,16
118,14
118,9
118,10
119,15
119,16
119,17
119,11
119,10
120,11
120,21
120,14
120,20
121,11
121,14
121,12
121,18
122,21
122,9
122,10
122,13
123,21
123,10
123,13
124,19
124,9
124,20
124,13
125,15
125,19
125,17
125,11
125,21
125,20
125,18
125,10
126,19
126,11
126,21
126,18
126,10
127,21
127,10
127,13
128,19
128,14
128,12
129,16
129,11
129,20
129,18
129,10
130,19
130,11
130,14
130,9
130,20
130,18
131,15
131,16
131,17
131,11
131,12
131,20
131,10
132,19
132,12
132,9
133,15
133,17
133,11
133,14
133,12
133,20
134,15
134,19
134,14
134,12
134,18
135,9
135,18
